river_id,river_name,river_ename,basin_id,in_id,gov_id,river_link
165000,鹽水溪,Yanshui River,1650,0,6,0@165000
165040,大洲排水,Dazhou Drainage,1650,165000,6,0@165000@165040
165050,柴頭港溪排水,Chaitougang River Drainage,1650,165000,6,0@165000@165050
165060,鹽水溪排水,Yanshui River Drainage,1650,165000,6,0@165000@165060
165061,曾文溪排水,Zengwen River Drainage,1650,165060,6,0@165000@165060@165061
165062,安順寮排水,Anshunliao Drainage,1650,165060,6,0@165000@165060@165062
220000,卑南溪,Beinan River,2200,0,8,0@220000
2200J0,電光一號溪,Dianguang No.1 River,2200,220000,8,0@220000@2200J0
2200K0,電光二號溪,Dianguang No.2 River,2200,220000,8,0@220000@2200K0
250000,和平溪,Heping River,2500,0,1,0@250000
250010,和平北溪,Heping North River,2500,250000,1,0@250000@250010
250020,和平南溪,Heping South River,2500,250000,1,0@250000@250020
250030,楓溪,Feng River,2500,250000,1,0@250000@250030
251000,南澳溪,Nanao River,2510,0,1,0@251000
251010,南澳北溪,Nanao North River,2510,251000,1,0@251000@251010
251020,南澳南溪,Nanao South River,2510,251000,1,0@251000@251020
252000,東澳溪,Dongao River,2520,0,1,0@252000
253000,蘇澳溪,Suao River,2530,0,1,0@253000
253010,白米溪,Baimi River,2530,253000,1,0@253000@253010
254000,新城溪,Xincheng River,2540,0,1,0@254000
255000,冬山河,Dongshan River,2550,0,1,0@255000
256000,蘭陽溪,Lanyang River,2560,0,1,0@256000
256010,羅東溪,Luodong River,2560,256000,1,0@256000@256010
256011,打狗溪,Dagou River,2560,256010,1,0@256000@256010@256011
256012,安農溪,Annong River,2560,256010,1,0@256000@256010@256012
256018,大坑溪,Dakeng River,2560,256012,1,0@256000@256010@256012@256018
256019,柑仔坑溪,Ganzaikeng River,2560,256012,1,0@256000@256010@256012@256019
256013,出水溪,Chushui River,2560,256010,1,0@256000@256010@256013
256014,寒溪,Han River,2560,256010,1,0@256000@256010@256014
256020,宜蘭河,Yilan River,2560,256000,1,0@256000@256020
256021,五十溪,Wushi River,2560,256020,1,0@256000@256020@256021
256022,大湖溪,Dahu River,2560,256020,1,0@256000@256020@256022
256023,大礁溪,Dajiao River,2560,256020,1,0@256000@256020@256023
256024,小礁溪,Xiaojiao River,2560,256020,1,0@256000@256020@256024
256030,清水溪,Qingshui River,2560,256000,1,0@256000@256030
256040,粗坑溪,Cukeng River,2560,256000,1,0@256000@256040
256050,頂粗坑溪,Dingcukeng River,2560,256000,1,0@256000@256050
256060,崙埤溪,Lunpizi River,2560,256000,1,0@256000@256060
256070,破鐺溪,Podang River,2560,256000,1,0@256000@256070
256080,松羅溪,Songluo River,2560,256000,1,0@256000@256080
256090,圓山溪,Yuanshan River,2560,256000,1,0@256000@256090
2560A0,梵梵溪,Fanfan River,2560,256000,1,0@256000@2560A0
2560B0,排谷溪,Paigu River,2560,256000,1,0@256000@2560B0
2560C0,東壘溪,Donglei River,2560,256000,1,0@256000@2560C0
2560D0,碼崙溪,Malun River,2560,256000,1,0@256000@2560D0
2560E0,土場溪,Tuchang River,2560,256000,1,0@256000@2560E0
2560F0,天狗溪,Tiangou River,2560,256000,1,0@256000@2560F0
257000,得子口溪,Dezikou River,2570,0,1,0@257000
258000,金面溪,Jinmian River,2580,0,1,0@258000
259000,福德溪,Fude River,2590,0,1,0@259000
260000,頭城溪,Toucheng River,2600,0,1,0@260000
261000,大溪川,Daxi River,2610,0,1,0@261000
262000,雙溪,Shuang River,2620,0,1,0@262000
264000,瑪鍊溪,Malian River,2640,0,1,0@264000
265000,員潭溪,Yuantan River,2650,0,1,0@265000
115000,水仙溪,Shuixian River,1150,0,2,0@115000
116000,寶斗溪,Baodou River,1160,0,2,0@116000
117000,林口溪,Linkou River,1170,0,10,0@117000
118000,南崁溪,Nankan River,1180,0,2,0@118000
118010,茄苳溪,Qiedong River,1180,118000,2,0@118000@118010
119000,埔心溪,Puxin River,1190,0,2,0@119000
120000,新街溪,Xinjie River,1200,0,2,0@120000
121000,老街溪,Laojie River,1210,0,2,0@121000
122000,富林溪,Fulin River,1220,0,2,0@122000
123000,大堀溪,Daku River,1230,0,2,0@123000
124000,觀音溪,Guanyin River,1240,0,2,0@124000
125000,新屋溪,Xinwu River,1250,0,2,0@125000
126000,社子溪,Shezi River,1260,0,2,0@126000
127000,福興溪排水,Fuxing River Drainage,1270,0,2,0@127000
128000,新豐溪,Xinfeng River,1280,0,2,0@128000
129000,鳳山溪,Fengshan River,1290,0,2,0@129000
129010,霄裡溪,Xiaoli River,1290,129000,2,0@129000@129010
130000,頭前溪,Touqian River,1300,0,2,0@130000
130010,上坪溪,Shangping River,1300,130000,2,0@130000@130010
130011,霞喀羅溪,Xiakaluo River,1300,130010,2,0@130000@130010@130011
130020,油羅溪,Youluo River,1300,130000,2,0@130000@130020
131000,客雅溪排水,Keya River Drainage,1310,0,2,0@131000
132000,鹽港溪排水,Yangang River Drainage,1320,0,2,0@132000
134000,中港溪,Zhonggang River,1340,0,2,0@134000
134010,南庄溪,Nanzhuang River,1340,134000,2,0@134000@134010
134020,南河溪,Nanhe River,1340,134000,2,0@134000@134020
134030,東河溪,Donghe River,1340,134000,2,0@134000@134030
134040,峨嵋溪,Emei River,1340,134000,2,0@134000@134040
134041,大坪溪,Daping River,1340,134040,2,0@134000@134040@134041
134050,南港溪,Nangang River,1340,134000,2,0@134000@134050
135000,後龍溪,Houlong River,1350,0,2,0@135000
135010,大湖溪,Dahu River,1350,135000,2,0@135000@135010
135020,南湖溪,Nanhu River,1350,135000,2,0@135000@135020
135030,汶水溪,Wenshui River,1350,135000,2,0@135000@135030
135040,鹽水坑溪,Yanshuikeng River,1350,135000,2,0@135000@135040
135050,雞隆河,Jilong River,1350,135000,2,0@135000@135050
135060,沙河溪,Shahe River,1350,135000,2,0@135000@135060
135061,打馬溝溪,Damagou River,1350,135060,2,0@135000@135060@135061
135062,飛鳳溪,Feifeng River,1350,135060,2,0@135000@135060@135062
135070,老田寮溪,Laotianliao River,1350,135000,2,0@135000@135070
135071,拔仔崗溪,Bazaigang River,1350,135070,2,0@135000@135070@135071
135080,新店溪,Xindian River,1350,135000,2,0@135000@135080
136000,西湖溪,Xihu River,1360,0,2,0@136000
137000,通霄溪,Tongxiao River,1370,0,2,0@137000
138000,苑裡溪,Yuanli River,1380,0,2,0@138000
139000,房裡溪,Fangli River,1390,0,2,0@139000
128010,德盛溪排水,De Sheng River Drainage,1280,128000,2,0@128000@128010
130030,柯子湖溪排水,Kezihu River Drainage,1300,130000,2,0@130000@130030
140000,大安溪,Daan River,1400,0,3,0@140000
140010,馬達拉溪,Madala River,1400,140000,3,0@140000@140010
140020,雪山溪,Xueshan River,1400,140000,3,0@140000@140020
140030,大雪溪,Daxue River,1400,140000,3,0@140000@140030
140040,北坑溪,Beikeng River,1400,140000,3,0@140000@140040
140050,雪山坑溪,Xueshankeng River,1400,140000,3,0@140000@140050
140060,烏石坑溪,Wushikeng River,1400,140000,3,0@140000@140060
140070,景山溪,Jingshan River,1400,140000,3,0@140000@140070
141000,溫寮溪,Wenliao River,1410,0,3,0@141000
142000,大甲溪,Dajia River,1420,0,3,0@142000
142010,七家灣溪,Qijiawan River,1420,142000,3,0@142000@142010
142020,四季郎溪,Sijilang River,1420,142000,3,0@142000@142020
142030,志樂溪,Zhile River,1420,142000,3,0@142000@142030
142040,匹亞桑溪,Piyasang River,1420,142000,3,0@142000@142040
143000,烏溪,Wu River,1430,0,3,0@143000
143010,北港溪,Beigang River,1430,143000,3,0@143000@143010
143011,水長流溪,Shuichangliu River,1430,143010,3,0@143000@143010@143011
143020,南港溪,Nangang River,1430,143000,3,0@143000@143020
143030,眉溪,Mei River,1430,143000,3,0@143000@143030
143040,貓羅溪,Maoluo River,1430,143000,3,0@143000@143040
143041,平林溪,Pinglin River,1430,143040,3,0@143000@143040@143041
143042,樟平溪,Changping River,1430,143040,3,0@143000@143040@143042
143050,大里溪,Dali River,1430,143000,3,0@143000@143050
143051,大坑溪,Dakeng River,1430,143050,3,0@143000@143050@143051
143052,廍子溪,Fazi River,1430,143050,3,0@143000@143050@143052
143053,旱溪,Han River,1430,143050,3,0@143000@143050@143053
143059,烏牛欄溪,Wuniulan River,1430,143053,3,0@143000@143050@143053@143059
14305A,龍虎鬪坑排水,Longhudoukeng Drainage,1430,143053,3,0@143000@143050@143053@14305A
143054,頭汴坑溪,Toubiankeng River,1430,143050,3,0@143000@143050@143054
143055,草湖溪,Caohu River,1430,143050,3,0@143000@143050@143055
14305B,北溝溪排水,Bei Gou River Drainage,1430,143055,3,0@143000@143050@143055@14305B
14305C,乾溪排水,Gan River Drainage,1430,143055,3,0@143000@143050@143055@14305C
143060,筏子溪,Fazi River,1430,143000,3,0@143000@143060
142050,食水嵙溪排水,Shi Shui Ke River Drainage,1420,142000,3,0@142000@142050
143056,旱溪排水,Han River,1430,143050,3,0@143000@143050@143056
14305D,柳川排水,Liuchuan Drainage,1430,143056,3,0@143000@143050@143056@14305D
143061,港尾子溪排水,Gang Wei Zi River Drainage,1430,143060,3,0@143000@143060@143061
144000,萬寮溪,Wanliao River,1440,0,4,0@144000
145000,洋仔厝溪,Yangzaicuo River,1450,0,4,0@145000
146000,員林大排水,Yuanlin Drainage,1460,0,4,0@146000
147000,舊濁水溪,Jiuzhuoshui River,1470,0,4,0@147000
148000,萬興排水幹線,Wanxing Drainage,1480,0,4,0@148000
149000,二林溪,Erlin River,1490,0,4,0@149000
150000,魚寮溪,Yuliao River,1500,0,4,0@150000
151000,濁水溪,Zhuoshui River,1510,0,4,0@151000
151010,陳有蘭溪,Chenyoulan River,1510,151000,4,0@151000@151010
151011,和社溪,Heshe River,1510,151010,4,0@151000@151010@151011
151012,沙里仙溪,Shalixian River,1510,151010,4,0@151000@151010@151012
151013,阿里不動,Alibudong River,1510,151010,4,0@151000@151010@151013
151014,筆石溪,Bishi River,1510,151010,4,0@151000@151010@151014
151015,十八重溪,Shibachong River,1510,151010,4,0@151000@151010@151015
151016,內茅埔溪,Neimaopu River,1510,151010,4,0@151000@151010@151016
151017,郡坑溪,Junkeng River,1510,151010,4,0@151000@151010@151017
151018,蒼庫溪,Cangku River,1510,151010,4,0@151000@151010@151018
151020,清水溪,Qingshui River,1510,151000,4,0@151000@151020
151021,阿里山溪,Alishan River,1510,151020,4,0@151000@151020@151021
151022,加走寮溪,Jiazouliao River,1510,151020,4,0@151000@151020@151022
151023,內田子溪,Neitianzi River,1510,151020,4,0@151000@151020@151023
151024,過溪,Guo River,1510,151020,4,0@151000@151020@151024
151025,雷公坑溪,Leigongkeng River,1510,151020,4,0@151000@151020@151025
151030,東埔蚋溪,Dongpurui River,1510,151000,4,0@151000@151030
151040,萬大溪,Wanda River,1510,151000,4,0@151000@151040
151050,卡社溪,Kashe River,1510,151000,4,0@151000@151050
151060,郡大溪,Junda River,1510,151000,4,0@151000@151060
151061,巒大溪,Luanda River,1510,151060,4,0@151000@151060@151061
151070,丹大溪,Danda River,1510,151000,4,0@151000@151070
151080,卓棍溪,Zhuogun River,1510,151000,4,0@151000@151080
151090,水里溪,Shuili River,1510,151000,4,0@151000@151090
1510A0,南清水溝溪,Nanqingshuigou River,1510,151000,4,0@151000@1510A0
1510B0,塔羅灣溪,Talurwan River,1510,151000,4,0@151000@1510B0
152000,新虎尾溪,Xinhuwei River,1520,0,5,0@152000
153000,舊虎尾溪,Jiuhuwei River,1530,0,5,0@153000
154000,北港溪,Beigang River,1540,0,5,0@154000
154010,虎尾溪,Huwei River,1540,154000,5,0@154000@154010
154011,石榴班溪,Shiliuban River,1540,154010,5,0@154000@154010@154011
154019,石子坑溪,Shizikeng River,1540,154011,5,0@154000@154010@154011@154019
15401A,內林溪,Neilin River,1540,154011,5,0@154000@154010@154011@15401A
15401B,牛埔溪,Niupu River,1540,154011,5,0@154000@154010@154011@15401B
154012,大埔溪,Dapu River,1540,154010,5,0@154000@154010@154012
154013,海豐崙溪,Haifenglun River,1540,154010,5,0@154000@154010@154013
154014,乾溪,Gan River,1540,154010,5,0@154000@154010@154014
154015,雲林溪,Yunlin River,1540,154010,5,0@154000@154010@154015
15401C,芭蕉溪,Bajiao River,1540,154015,5,0@154000@154010@154015@15401C
154020,三疊溪,Sandie River,1540,154000,5,0@154000@154020
154021,九芎坑溪,Jiuqiongkeng River,1540,154020,5,0@154000@154020@154021
154022,石龜溪,Shigui River,1540,154020,5,0@154000@154020@154022
154030,大湖口溪,Dahukou River,1540,154000,5,0@154000@154030
154040,石牛溪,Shiniu River,1540,154000,5,0@154000@154040
154041,崙子溪,Lunzi River,1540,154040,5,0@154000@154040@154041
155000,朴子溪,Pozi River,1550,0,5,0@155000
155010,牛稠溪,Niuchou River,1550,155000,5,0@155000@155010
155020,阿拔泉溪,Abaqyuan River,1550,155000,5,0@155000@155020
155030,崎腳溪,Qijiao River,1550,155000,5,0@155000@155030
155040,白樹腳溪,Baishujiao River,1550,155000,5,0@155000@155040
155041,東廣寮溪,Donguangliao River,1550,155040,5,0@155000@155040@155041
155050,濁水溪,Zhuoshui River,1550,155000,5,0@155000@155050
155051,番子路科溪,Fanziluke River,1550,155050,5,0@155000@155050@155051
155052,清水溪,Qingshui River,1550,155050,5,0@155000@155050@155052
155056,頂埔溪,Dingpu River,1550,155052,5,0@155000@155050@155052@155056
155060,獅子頭溪,Shizitou River,1550,155000,5,0@155000@155060
156000,內田排水排水路,Neitian River,1560,0,5,0@156000
157000,龍宮溪,Longgong River,1570,0,5,0@157000
158000,八掌溪,Bazhang River,1580,0,5,0@158000
158010,赤蘭溪,Chilan River,1580,158000,5,0@158000@158010
158011,澐水溪,Yunshui River,1580,158010,5,0@158000@158010@158011
158015,石?溪,Shi ? River,1580,158011,5,0@158000@158010@158011@158015
158020,頭前溪,Touqian River,1580,158000,5,0@158000@158020
158021,牛稠埔坑溪,Niu Chou Pu Keng River,1580,158020,5,0@158000@158020@158021
159000,急水溪,Jishui River,1590,0,5,0@159000
159010,龜重溪,Guizhong River,1590,159000,5,0@159000@159010
159011,鹿寮溪,Luliao River,1590,159010,5,0@159000@159010@159011
159012,茄苳溪,Qiedong River,1590,159010,5,0@159000@159010@159012
159020,白水溪,Baishui River,1590,159000,5,0@159000@159020
159021,仙草埔溪,Xiancaopu River,1590,159020,5,0@159000@159020@159021
159030,六重溪,Liuzhong River,1590,159000,5,0@159000@159030
160000,將軍溪排水,Jiangjun River Drainage,1600,0,5,0@160000
161000,劉厝排水,Liucuo River,1610,0,5,0@161000
161010,大塭寮排水,Dawenliao Drainage,1610,161000,5,0@161000@161010
154023,興安排水,Xingan Drainage,1540,154020,5,0@154000@154020@154023
155070,嘉義排水,Jiayi Drainage,1550,155000,5,0@155000@155070
155080,麻魚寮排水,Mayuliao Drainage,1550,155000,5,0@155000@155080
158030,湖子內排水(在來排水),Zai lai Drainage,1580,158000,5,0@158000@158030
158040,後庄排水(隆恩排水),Long en Drainage,1580,158000,5,0@158000@158040
163000,曾文溪,Zengwen River,1630,0,6,0@163000
163010,後堀溪,Houjue River,1630,163000,6,0@163000@163010
163020,菜寮溪,Cailiao River,1630,163000,6,0@163000@163020
163030,密枝溪,Mizhi River,1630,163000,6,0@163000@163030
163040,油車溪,Youche River,1630,163000,6,0@163000@163040
163041,灣丘溪,Wanqiu River,1630,163040,6,0@163000@163040@163041
163050,後旦溪,Houdan River,1630,163000,6,0@163000@163050
163060,官田溪,Guantian River,1630,163000,6,0@163000@163060
164000,鹿耳門溪,Luermen River,1640,0,6,0@164000
164010,學甲寮中排,Xuejialiao Drainage,1640,164000,6,0@164000@164010
164020,溪南寮排水,Xinanliao Drainage,1640,164000,6,0@164000@164020
164030,溪筏港之一排水,Xifagang No.1 Drainage,1640,164000,6,0@164000@164030
164040,溪筏港之二排水,Xifagang No.2 Drainage,1640,164000,6,0@164000@164040
164050,土城排水,Tucheng Drainage,1640,164000,6,0@164000@164050
164060,土城仔小排一之三,Tuchengzai No.1-3 Drainage,1640,164000,6,0@164000@164060
165010,虎頭溪排水,Hutou river Drainage,1650,165000,6,0@165000@165010
165020,許縣溪,Xuxian River,1650,165000,6,0@165000@165020
165030,那(草字部)菝林溪,Nabalin River,1650,165000,6,0@165000@165030
166000,二仁溪,Erren River,1660,0,6,0@166000
166010,三爺溪排水,San Ye River Drainage,1660,166000,6,0@166000@166010
166020,牛稠埔溪,Niuchoupu River,1660,166000,6,0@166000@166020
166030,松子腳溪,Songzijiao River,1660,166000,6,0@166000@166030
166040,深坑子溪,Shenkengzi River,1660,166000,6,0@166000@166040
166050,港尾溝排水,Gangweigou Drainage,1660,166000,6,0@166000@166050
167000,阿公店溪,Agongdian River,1670,0,6,0@167000
167010,濁水溪,Zhuoshui River,1670,167000,6,0@167000@167010
167020,旺萊溪,Wanglai River,1670,167000,6,0@167000@167020
167030,土庫排水,Tuku Drainage,1670,167000,6,0@167000@167030
167040,岡山溪,Gangshan River,1670,167000,6,0@167000@167040
168000,典寶溪排水,Dianbao River Drainage,1680,0,6,0@168000
169000,後勁溪,Houjin River,1690,0,6,0@169000
170000,愛河,Ai River,1700,0,6,0@170000
171000,前鎮河,Qianzhen River,1710,0,6,0@171000
172000,鹽水港溪,Yanshuigang River,1720,0,6,0@172000
106000,楓林溪,Fenglin River,1060,0,7,0@106000
173000,高屏溪,Gaoping River,1730,0,7,0@173000
173010,荖濃溪,Laonong River,1730,173000,7,0@173000@173010
