區處別,淨水場名稱,X座標(TWD97),Y座標(TWD97),主要供水轄區,原水來源
7,桑園淨水場,231960.50,2451216.15,屏東縣：牡丹鄉東源村、旭海村、牡丹村。,牡丹溪
7,木梓淨水場,204405.74,2546395.76,"高雄市：
(杉林區)木梓、木梓國小、白水泉、紅毛山、杉林國中、月眉國小、上平里、新庄里。",旗山溪
7,潮新淨水場,223133.2807 ,1203545.2453 ,"屏東縣：
潮州鎮：劉厝尾、九塊、埤仔頭、溪寮、崙仔頂、焦庄、新庄、鳳尾新庄、新開寮。",潮新8號井
7,白沙鹽井水淡化廠,106751.48,2618809.36,澎湖縣：(白沙鄉)全鄉(吉貝村除外),赤崁地下水庫
7,七美淨水場含七美鹽井水淡化廠,89686.09,2568376.58,澎湖縣：(七美鄉)全鄉,七美6口深井、七美水庫
7,新威淨水場,213544.51,2537011.89,六龜區新威、新寮、山寮、二坡。,荖濃溪
7,寶來淨水場,219305.77,2556185.10,"高雄市：
(六龜區)寶來、建山、檨子腳、上、下荖濃、新開、新發、獅額頭。
",寶來溪
7,廣興淨水場,206162.64,2535195.88,高雄市：美濃區、但吉祥（一部分）、吉東（一部分）、獅子里尚未供水。,廣興1、2號井
7,甲仙淨水場,208126.88,2553913.88,高雄市：(甲仙區)甲仙、仙林巷、中園、大邱園、田寮巷(又名平埔)、新榮巷(又名田寮)、公館、關山。寶隆淨水場供水轄區改由甲仙淨水場供水。,旗山溪
7,信國淨水場,201976.1820 ,2525470.5620 ,(里港鄉)信國新村、土庫村、定遠新村、精忠新村。,信國深井
7,餉潭淨水場,209754.84,2486672.29,屏東縣：(新埤鄉)餉潭、(來義鄉)望嘉、文樂,餉潭2口深井、來義溪
7,南和淨水場,22267.1699 ,1203831.8699 ,"(來義鄉)南和
(春日鄉)力里、七佳、歸崇",南和深井
7,來義淨水場,223140.8064 ,1203936.7822 ,"屏東縣：
(來義鄉)義林、南復興、北復興、丹林、古樓、新來義永久屋。
(泰武鄉)平和村。",來義深井
7,白沙淨水場,106751.48,2618809.36,"澎湖縣：
(白沙鄉)全鄉(吉貝村除外)",白沙26口深井
7,馬兒淨水場,211685.47,2520921.78,屏東縣：(高樹鄉)全鄉、但舊寮、司馬除外、(三地門鄉)青山、青葉、安坡、馬兒、口社又廣興、賽嘉另由廣興系統供水。,泰山1號井
7,力里淨水場,22267.5899 ,1203832.0999 ,"(來義鄉)南和
(春日鄉)力里、七佳、歸崇",力里深井
7,佳平淨水場,223533.0000 ,1203730.0000 ,(泰武鄉)武潭村、佳平村、吾拉魯滋永久屋。,佳平深井
7,新豐淨水場,213494.66,2531152.13,屏東縣：(高樹鄉)全鄉、但舊寮、司馬除外、(三地門鄉)青山、青葉、安坡、馬兒、口社又廣興、賽嘉另由廣興系統供水。,新豐1號井
7,西嶼淨水場含西嶼鹽井水淡化廠,97984.42,2612868.89,澎湖縣：(西嶼鄉)全鄉,西嶼海水淡化廠
7,六龜淨水場,212997.79,2543528.82,高雄市：(六龜區)土瓏、東溪山莊、舊潭、六龜、木瓜溪、埔仔厝、狗寮(又名復興)、中庄、尾庄、草?,荖濃溪
7,大慶淨水場,192882.4530 ,2505273.7610 ,"屏東市全市、營區二處、及工業區包括屏東工業區、屏東汽車專業區、華山工業用地、安鎮工業用地及清溪工業用地及屏東二代加工出口區等六處。
長治鄉火燒、三座尾、單座屋、新潭頭、外庄、庄尾、香揚腳、河唇、老潭頭等9個社區。
萬丹鄉社上、社中、社皮、磚寮、廈北、崙頂、後村村、灣內、廈南（部分）、香社（部分）、田厝（部分）、上村村（部分）、社口（部分）、加興（部分）。",大慶深井
7,"馬公第1海水淡化廠(3,000CMD)",110167.9120 ,2605656.1410 ,馬公市、湖西鄉,海水
7,林邊淨水場,222620.3145 ,1203116.6021 ,"屏東縣：
(南州鄉)(東港鎮)(佳冬鄉)(新園鄉)(崁頂鄉)(琉球鄉) 全鄉鎮
(春日鄉)(枋寮鄉)(林邊鄉)部分地區",林邊3口井
7,三和淨水場,208861.3570 ,2507352.6040 ,"屏東縣：
(三地門鄉)三地
(瑪家鄉)北葉、佳義、筏灣、
三和上、中、下村。
(內埔鄉)水門、隘寮、新隘寮
(鹽埔鄉)西瓜園、久愛、錦隆
(長治鄉)日新村","三和新1號井
及2號井"
7,成功鹽井水淡化場,109050.47,2608513.69,"澎湖縣：
馬公市：馬公、前寮、石泉、案山、菜園、東衛、宅腳嶼、澎南地區。
湖西鄉：全鄉",成功鹽井淡化廠
7,北葉淨水場,215094.2250 ,2510693.1340 ,"屏東縣：
(三地門鄉)三地
(瑪家鄉)北葉、佳義、筏灣、
三和上、中、下村。
(內埔鄉)水門、隘寮、新隘寮
(鹽埔鄉)西瓜園、久愛、錦隆
(長治鄉)日新村",北葉3號井、隘寮溪
7,枋寮淨水場（太源四號井）,222453.8110 ,120358.9629 ,"屏東縣：
枋寮鄉：枋寮、隆山、安樂、中寮、保生、天時、地利、人和、東海、大庄、太源村、內寮。
枋山鄉：加祿村。
獅子鄉：南世村、內獅。",太源4號井
7,廣興淨水場,206162.64,2535195.88,高雄市：美濃區、但吉祥（一部分）、吉東（一部分）、獅子里尚未供水。,廣興2口井
7,美濃淨水場,202450.39,2531941.45,高雄市：美濃區、但吉祥（一部分）、吉東（一部分）、獅子里尚未供水。,美濃3口井
7,高樹淨水場,208663.20,2525034.42,屏東縣：(高樹鄉)全鄉、但舊寮、司馬除外、(三地門鄉)青山、青葉、安坡、馬兒、口社又廣興、賽嘉另由廣興系統供水。,高樹1.2.3號井及阿拔泉1口深井
7,成功淨水場,109050.47,2608513.69,"澎湖縣：
馬公市：馬公、前寮、石泉、案山、菜園、東衛、宅腳嶼、
        澎南地區。
湖西鄉：全鄉",成功、興仁、東衛水庫
7,"馬公第1海水淡化廠(10,000CMD)",110105.4620 ,2605650.6450 ,馬公市、湖西鄉,海水
7,北勢淨水場,203233.4610 ,2504169.3150 ,"屏東縣：
(內埔鄉)內埔工業區、頭崙、永芳、新北勢、西勢、過溝子、六巷上、竹頭角、老北勢、楊屋角、西新屋角、上順林子、中順林子、美崙、南勢、竹圍村、大新村。
(長治鄉)復興村、榮華村。",北勢等4口深井
7,仁武淨水場,187721.0300 ,2511128.37,高雄市左營軍區,大樹10口井
7,屏東加工區淨水場,193661.5520 ,2504297.6930 ,"屏東市全市、營區二處、及工業區包括屏東工業區、屏東汽車專業區、華山工業用地、安鎮工業用地及清溪工業用地及屏東二代加工出口區等六處。
長治鄉火燒、三座尾、單座屋、新潭頭、外庄、庄尾、香揚腳、河唇、老潭頭等9個社區。
萬丹鄉社上、社中、社皮、磚寮、廈北、崙頂、後村村、灣內、廈南（部分）、香社（部分）、田厝（部分）、上村村（部分）、社口（部分）、加興（部分）。",屏東加工區深井
7,手巾寮淨水場,198629.78,2529978.21,"旗山區：旗山、六張犁、圓潭、大林、尾庄、旗尾、溪州、?碡坑、圭柚腳。
內門區：永富、內南。                                                                                                                             杉林區：大愛永久屋。",手巾寮6口井
7,翁公園淨水場,191644.72,2500612.50,高雄市鳳山區、大寮區,翁公園淨水場12口井、高屏溪、南化水庫
7,屏東淨水場,199037.0520 ,2507791.8140 ,"屏東市全市、營區二處、及工業區包括屏東工業區、屏東汽車專業區、華山工業用地、安鎮工業用地及清溪工業用地及屏東二代加工出口區等六處。
長治鄉火燒、三座尾、單座屋、新潭頭、外庄、庄尾、香揚腳、河唇、老潭頭等9個社區。
萬丹鄉社上、社中、社皮、磚寮、廈北、崙頂、後村村、灣內、廈南（部分）、香社（部分）、田厝（部分）、上村村（部分）、社口（部分）、加興（部分）。",屏東等21口井
7,牡丹淨水場,226359.18,2447253.04,"屏東縣：
(恆春鎮)(滿州鄉)(車城鄉)(枋山鄉)(南州鄉)(東港鎮)(佳冬鄉)(新園鄉)(崁頂鄉)(琉球鄉) 全鄉鎮；
(牡丹鄉)(獅子鄉)(春日鄉)(枋寮鄉)(林邊鄉)(新埤鄉)部分地區",牡丹水庫
7,嶺口淨水場,192826.70,2519341.57,高雄市楠梓區、岡山區、燕巢區、阿蓮區、田寮區,手巾寮14口井
7,路竹淨水場,174249.3400 ,2525467.41,高雄市路竹區、湖內區、茄定區、永安區,阿公店水庫
7,拷潭淨水場,188236.93,2499115.13,高雄市前鎮區、小港區、林園區、鳳山區、大寮區,拷潭淨水場6口井、高屏溪、會結站、南化水庫
7,鳳山淨水場,187456.0000 ,2494078.0000 ,高雄市小港區、前鎮區、旗津區。                         ,高屏溪、鳳山水庫
7,澄清湖淨水場,183747.5800 ,2506125.92,高雄市三民區、苓雅區、新興區、鼓山區、左營區、前鎮區、前金區、鹽埕區。,澄清湖水庫
7,坪頂淨水場,189023.8000 ,2508955.5000 ,高雄市大樹區、鳳山部份區域、北高雄,竹寮10口井、大樹10口井、高屏溪
8,英士淨水場,303412.88,2723400.40,大同鄉英士村,"英士深井及山澗溪
(蘭陽溪水系)"
8,南山淨水場,288179.81,2703124.94,大同鄉南山村,"佐得寒山山澗水
(蘭陽溪水系)"
8,四季淨水場,293604.25,2709050.68,大同鄉四季村,四重溪(蘭陽溪水系)
8,金洋淨水場,325969.48,2702256.80,南澳鄉金洋村,"金洋深井及南澳南溪
(南澳溪水系)"
8,澳花淨水場,325492.94,2691948.80,澳花村,澳花深井
8,東澳淨水場,334168.28,2713040.13,南澳鄉岳村蘇澳鎮東澳里,"東澳2口深井及東澳北溪
(東澳溪水系)"
8,天送埤淨水場,311667.96,2728219.64,天送埤行政區,天送埤2口深井
8,圳頭淨水場,317747.21,2738232.60,員山鄉湖北村,圳頭深井及五十溪
8,枕山淨水場,322215.85,2740609.48,員山?,枕山2口深井
8,大溪淨水場,340074.47,2759586.01,礁溪鄉、頭城鎮,大溪溪
8,寒溪淨水場,319480.32,2722415.73,"大同鄉寒溪村,冬山鄉大進村,得安村,廣興村",寒溪(蘭陽溪水系)
8,碧候淨水場,329582.23,2707976.38,"南澳鄉及蘇澳鎮南強,朝陽等大南澳地區","南澳深井及南澳北溪
(大南澳溪水系)"
8,大隱淨水場,322237.24,2728012.70,大?村、廣安村,大隱深井
8,柑仔坑淨水場,315687.58,2727171.66,三星鄉行政區內三星、貴林、大義、大洲等二十村,柑仔坑深井及小南澳溪
8,金面淨水場,331366.75,2749704.84,頭城鎮及礁溪鄉,雪隧取水口
8,松羅淨水場,307127.28,2729084.03,"大同鄉松羅,玉蘭,崙碑,牛鬥,大溪,三星鄉全區域、五結鄉全區域,羅東鎮仁愛,竹林,樹林等里",松羅溪(蘭陽溪水系)
8,龍潭淨水場,323837.69,2741660.51,"宜蘭市,壯圍鄉、礁溪鄉、",龍潭2口深井
8,丸山淨水場,326790.68,2726280.86,冬山行政區內,丸山3口淺井
8,龍德淨水場,332100.48,2724310.54,"冬山鄉及蘇澳鎮,五結鄉等部分村里",龍德4口深井及新城溪
8,蘇澳淨水場,336461.70,2720783.49,蘇澳鎮區.南方澳.新馬地區.永春地區.蘇澳港區羅東鎮.冬山鄉等行政區及龍德工業區,蘇澳6口淺井
8,廣興淨水場,325973.70,2729590.75,羅東冬山五結等行政區,廣興2口深井4口淺井
8,清洲淨水場,325556.17,2734025.41,羅東五結等行政區,羅東溪攔河堰伏流水
8,深溝淨水場,321373.07,2734999.24,"宜蘭市,員山鄉,壯圍鄉、礁溪鄉、頭城鎮部份行政區",深溝5口淺井及粗坑溪
9,西林淨水場,293852.71,2635225.57,西林村,西林山地保留地山溝水、西林深井
9,水璉淨水場,307291.96,2631788.01,水璉,水璉淺井
9,松蒲淨水場,287605.013,2591164.787,松蒲里,松蒲淺井
9,樂合淨水場,285448.98,2579556.78,東豐,樂合淺井
9,太平淨水場,282321.53,2589439.75,太平村,太平深井
9,東里淨水場,280884.835,2572696.127,萬寧村,東里淺井
9,三笠山淨水場,282673.535,2592286.284,"笠山村,崙山村",三笠山淺井
9,新興淨水場,315019.658,2670044.329,"富世村,崇德村",新興一.二號井
9,舞鶴淨水場,285014.88,2595233.99,舞鶴村,瑞西村一鄰水源涵養保安林山澗水
9,港口淨水場,299256.9,2596776.31,港口村,秀姑巒溪山澗水
9,池南淨水場,300768.78,2646056.08,池南村,荖溪
9,新社淨水場,304642.346,2617386.167,豐濱鄉,多普安溪
9,富世淨水場,313384.368,2671879.446,"富世村,崇德村",立霧溪山澗水
9,和平淨水場,325416.51,2690394.57,和平村,和平深井、和平溪山澗水(枯竭、停用)
9,新城淨水場,316340.396,2669248.194,新城鄉,新興三號井
9,客城淨水場,281348.607,2579273.959,玉里鎮,客城深井
9,稻香淨水場,308296.783,2650907.166,吉安鄉稻香村,稻香深井
9,明里淨水場,275504.224,2565299.266,富里鄉,明里等2口井
9,富源淨水場,286528.64,2609345.31,富源村,富源深井、馬蘭溝溪
9,紅葉淨水場,283547.444,2598845.251,紅葉村,紅葉溪
9,豐裡淨水場,301086.77,2637977.21,壽豊鄉,豐裡等2口深井
9,光復淨水場,292860.323,2617638.941,光復鄉,光復等3口井
9,鳳林淨水場,293352.345,2627923.651,鳳林鎮,無名溪
9,萬榮淨水場,292880.87,2623873.49,萬榮鄉,萬榮等2口井
9,北昌淨水場,310302.92,2654012.92,花蓮市,德興一號井
9,光華六號淨水場,308807.03,2647939.24,光華村,光華等3口井
9,光華七號淨水場,308338.45,2648109.37,光華村,光華等3口井
9,光華八號淨水場,308033.68,2647277.15,光華村,光華等3口井
9,南華淨水場,305864.077,2650057.327,吉安鄉南華村,南華等5口井
9,玉里淨水場,281761.89,2582544.8,玉里鎮,玉里等2口井
9,支亞干(北林)淨水場,294248.21,2633022.84,鳳林鎮,花蓮溪水系清水溪
9,光華淨水場,310043.87,2647238.29,吉安鄉光華村,光華等3口井
9,國慶淨水場,309530.625,2655880.548,"花蓮市,吉安鄉,新城鄉",國慶等3口井
9,壽豐淨水場,302265.94,2642925.68,"壽豊鄉,吉安鄉",荖溪
9,娑婆礑淨水場,305589.241,2655641.078,"花蓮市,吉安鄉,新城鄉",美崙溪水系娑婆礑溪南、北溪
10,愛國埔淨水場,241113,2483726,台東縣大武鄉愛國埔社區,愛國埔深井、山澗水
10,武陵淨水場,261561,2540627,台東縣延平鄉武陵村,山澗水
10,利稻淨水場,252468,2565070,台東縣海端鄉利稻社區,山澗水
10,大溪淨水場,242358,2485134,台東縣太麻里鄉多良村,山澗水
10,森永淨水場,234937,2465226,達仁鄉森永村,森永深井
10,沙崙淨水場,249977,2502547,台東縣太麻里鄉沙崙,沙崙深井
10,東清淨水場,308548,2440004,台東縣蘭嶼鄉東清村,東清溪
10,紅頭淨水場,307745,2437011,台東縣蘭嶼鄉紅頭,紅頭溪
10,朗島淨水場,306699,2442451,台東縣蘭嶼鄉朗島,朗島溪
10,泰源淨水場,278812,2544273,台東縣東河鄉泰源村,馬武窟溪
10,海端淨水場,267489,2556326,"台東縣關山鎮,海端鄉等區(德高)",新武呂溪
10,金崙淨水場,245256,2494462,"太麻里村,金崙村,金峰鄉,賓茂村",山澗水
10,安朔淨水場,237549,2466154,達仁鄉安朔村,安朔深井
10,初鹿淨水場,267092,2519833,台東縣卑南鄉初鹿社區,初鹿3、4號深井
10,班鳩淨水場,234937,2465226,卑南鄉美農村,斑鳩深井、無名溪
10,瑞源淨水場,261336,2515747,台東縣鹿野鄉瑞源村,瑞源深井
10,壢坵淨水場,243727,2492547,"太麻里鄉溫泉,歷丘一帶社區",壢坵補充水源井、山澗水
10,瑞豐淨水場,277855,2544503,台東縣鹿野鄉瑞豐村,瑞豐第二深井
10,陸安淨水場,282429,2568925,台東縣池上鄉陸安村,陸安深井
10,大王淨水場,250996,2501141,台東縣太麻里鄉大王村,大王深井
10,永安淨水場,261283,2537164,鹿野鄉：鹿野、和平、龍田、湖底、永安、永昌、永德等社區：延平鄉：永康、武陵等社區,永安深井、山澗水
10,嘉蘭淨水場,252579,2519292,台東縣太麻里鄉嘉蘭村,山澗水
10,和平淨水場,240370,2473373,台東縣大武鄉和平社區,和平深井
10,綠島淨水場,301436,2508196,台東縣綠島鄉,綠島深井、酬勤水庫
10,正興淨水場,249654,2500683,台東縣金峰鄉正興,正興1、2號深井
10,紅葉淨水場,255524,2533622,台東縣延平鄉紅葉村,瓦崗溪
10,知本三號淨水場,254726,2511098,台東縣台東市知本,知本三號深井
10,水母淨水場,271812,2588768,台東縣長濱鄉,水母丁溪
10,關山淨水場,262405,2549754,臺東縣關山鎮,關山二號深井、崁頂溪
10,成功淨水場,287740,2560204,台東縣成功鎮、東河鄉、長濱鄉,富家溪、柑仔山溪
10,加羅板淨水場,237298,2473535,台東縣大武鄉加羅板社區,加羅板深井、加羅板二號深井
10,池上淨水場,271984,2557570,臺東縣池上鄉、海端鄉,新興深井
10,黑森林淨水場,262912,2521275,台東縣台東市,黑森林井
10,泰安淨水場,253881,2524235,台東縣卑南鄉泰安,泰安三號深井、大巴六九溪
10,利嘉淨水場,253415,2519125,台東縣台東市、卑南鄉,東興三號深井、東興四號窨井、利嘉三號深井、利嘉溪
11,彰化第三淨水場,201793 ,2665112 ,(彰化市)、(和美鎮)、(伸港鄉)、(線西鄉)等全市鎮鄉。,三場等14口井
11,全興淨水場,200254 ,2672489 ,"(彰化市)、(和美鎮)、
(伸港鄉)、(線西鄉)等全市鎮鄉。",全興場等6口井
11,和美淨水場,200255 ,2666548 ,"(彰化市)、(和美鎮)、
(伸港鄉)、(線西鄉)等全市鎮鄉。",和美場等3口井
11,花壇淨水場,205074 ,2657245 ,"(花壇鄉)全鄉。
(大村鄉)全鄉，但美港、擺塘等二村部份由員林系統供水。
(秀水鄉)金興村、陜西村等二村。
(埔心鄉)埤霞村、埤腳村等二村。",花壇場等7口井
11,大村第一淨水場,203881 ,2654168 ,"(花壇鄉)全鄉。
(大村鄉)全鄉，但美港、擺塘等二村部份由員林系統供水。
(秀水鄉)金興村、陜西村等二村。
(埔心鄉)埤霞村、埤腳村等二村。",大村一場1口井
11,大村第二淨水場,205310 ,2654034 ,"(花壇鄉)全鄉。
(大村鄉)全鄉，但美港、擺塘等二村部份由員林系統供水。
(秀水鄉)金興村、陜西村等二村。
(埔心鄉)埤霞村、埤腳村等二村。",大村二場5口井
11,北斗淨水場,202289 ,2640803 ,"(北斗鎮)、(永靖鄉)等全鄉鎮。
(溪州鄉)除榮光、大庄、成功、西畔、柑園、潮洋、張厝、蔡公、三條、三圳、水尾等村及溪厝部分以外。
(田尾鄉)全鄉，但福田村、新興村由二水系統供水。
(埤頭鄉)全鄉，但中和村、竹圍村、庄內村、大湖村由二林系統供水。
(埔心鄉)全鄉，但埤霞村、埤腳村、中羅村由花壇系統供水。
(溪湖鎮)竹圍、湳底、頂庄、媽厝等小部分地區。",北斗場等3口井
11,埤頭淨水場,198289 ,2640711 ,"(北斗鎮)、(永靖鄉)等全鄉鎮。
(溪州鄉)除榮光、大庄、成功、西畔、柑園、潮洋、張厝、蔡公、三條、三圳、水尾等村及溪厝部分以外。
(田尾鄉)全鄉，但福田村、新興村由二水系統供水。
(埤頭鄉)全鄉，但中和村、竹圍村、庄內村、大湖村由二林系統供水。
(埔心鄉)全鄉，但埤霞村、埤腳村、中羅村由花壇系統供水。
(溪湖鎮)竹圍、湳底、頂庄、媽厝等小部分地區。",埤頭場等2口井
11,永靖淨水場,203524 ,2647206 ,"(北斗鎮)、(永靖鄉)等全鄉鎮。
(溪州鄉)除榮光、大庄、成功、西畔、柑園、潮洋、張厝、蔡公、三條、三圳、水尾等村及溪厝部分以外。
(田尾鄉)全鄉，但福田村、新興村由二水系統供水。
(埤頭鄉)全鄉，但中和村、竹圍村、庄內村、大湖村由二林系統供水。
(埔心鄉)全鄉，但埤霞村、埤腳村、中羅村由花壇系統供水。
(溪湖鎮)竹圍、湳底、頂庄、媽厝等小部分地區。",永靖場等5口井
11,埔心淨水場,203058 ,2651003 ,"(北斗鎮)、(永靖鄉)等全鄉鎮。
(溪州鄉)除榮光、大庄、成功、西畔、柑園、潮洋、張厝、蔡公、三條、三圳、水尾等村及溪厝部分以外。
(田尾鄉)全鄉，但福田村、新興村由二水系統供水。
(埤頭鄉)全鄉，但中和村、竹圍村、庄內村、大湖村由二林系統供水。
(埔心鄉)全鄉，但埤霞村、埤腳村、中羅村由花壇系統供水。
(溪湖鎮)竹圍、湳底、頂庄、媽厝等小部分地區。",埔心場等4口井
11,下壩淨水場,203406 ,2635584 ,"(北斗鎮)、(永靖鄉)等全鄉鎮。
(溪州鄉)除榮光、大庄、成功、西畔、柑園、潮洋、張厝、蔡公、三條、三圳、水尾等村及溪厝部分以外。
(田尾鄉)全鄉，但福田村、新興村由二水系統供水。
(埤頭鄉)全鄉，但中和村、竹圍村、庄內村、大湖村由二林系統供水。
(埔心鄉)全鄉，但埤霞村、埤腳村、中羅村由花壇系統供水。
(溪湖鎮)竹圍、湳底、頂庄、媽厝等小部分地區。",下壩場等5口井
11,二林淨水場,186011 ,2643215 ,"(大城鄉)、(芳苑鄉)、
(竹塘鄉)等全鄉。
(二林鎮)全鎮，但萬興里、永興里、振興里、西庄里、梅芳里、華崙里等六里由溪湖系統供水
(埤頭鄉)庄內村、中和村、竹圍村、大湖村等四村。",二林等6口井
11,芳苑淨水場,184251 ,2646886 ,"(大城鄉)、(芳苑鄉)、
(竹塘鄉)等全鄉。
(二林鎮)全鎮，但萬興里、永興里、振興里、西庄里、梅芳里、華崙里等六里由溪湖系統供水
(埤頭鄉)庄內村、中和村、竹圍村、大湖村等四村。",芳苑等8口井
11,竹塘淨水場,192398 ,2639366 ,"(大城鄉)、(芳苑鄉)、
(竹塘鄉)等全鄉。
(二林鎮)全鎮，但萬興里、永興里、振興里、西庄里、梅芳里、華崙里等六里由溪湖系統供水
(埤頭鄉)庄內村、中和村、竹圍村、大湖村等四村。",竹塘等4口井
11,鹿港淨水場,193234 ,2661849 ,"(鹿港鎮)全鎮。
(福興鄉)福興、福南、西勢、同安、二港、橋頭、福寶、頂粘、廈粘、麥厝、三和、鎮平、番婆、秀厝等十四村。",鹿港場等11口井
11,秀厝淨水場,191939 ,2659180 ,"(鹿港鎮)全鎮。
(福興鄉)福興、福南、西勢、同安、二港、橋頭、福寶、頂粘、廈粘、麥厝、三和、鎮平、番婆、秀厝等十四村。",秀厝場等12口井
11,打鐵厝淨水場,195323 ,2662194 ,"(鹿港鎮)全鎮。
(福興鄉)福興、福南、西勢、同安、二港、橋頭、福寶、頂粘、廈粘、麥厝、三和、鎮平、番婆、秀厝等十四村。",打鐵厝場等5口井
11,員林第一淨水場,209853 ,2649276 ,"(員林鎮)全鎮，但泉州寮、後壁厝、南邊田頭、南邊厝、待人坑、湖水坑、許厝、坑仔內、水尾等九部落除外、另大明里一部分由二水系統供水。
(大村鄉)美港、擺塘等二村。",一場等11口井
11,員林第二淨水場,205604 ,2651025 ,"(員林鎮)全鎮，但泉州寮、後壁厝、南邊田頭、南邊厝、待人坑、湖水坑、許厝、坑仔內、水尾等九部落除外、另大明里一部分由二水系統供水。
(大村鄉)美港、擺塘等二村。",二場等10口井
11,員林第三淨水場,207351 ,2648520 ,"(員林鎮)全鎮，但泉州寮、後壁厝、南邊田頭、南邊厝、待人坑、湖水坑、許厝、坑仔內、水尾等九部落除外、另大明里一部分由二水系統供水。
(大村鄉)美港、擺塘等二村。",三場等9口井
11,社頭淨水場,210598 ,2644201 ,"(二水鄉)全鄉。
(田中鎮)全鎮，但大社里、平和里等少部分住戶尚未供水。
(社頭鄉)全鄉。
(田尾鄉)福田村、新興村等二村。
(員林鎮)大明里一部分。(溪州鄉)榮光、大庄、成功、西畔、柑園、潮洋、張厝、蔡公、三條、三圳、水尾等村及溪厝部分。",社頭場等10口井
11,倡和淨水場,215889 ,2633713 ,"(二水鄉)全鄉。
(田中鎮)全鎮，但大社里、平和里等少部分住戶尚未供水。
(社頭鄉)全鄉。
(田尾鄉)福田村、新興村等二村。
(員林鎮)大明里一部分。(溪州鄉)榮光、大庄、成功、西畔、柑園、潮洋、張厝、蔡公、三條、三圳、水尾等村及溪厝部分。",倡和場等5口深井，4口寬口井
11,田中淨水場,210020 ,2638894 ,"(二水鄉)全鄉。
(田中鎮)全鎮，但大社里、平和里等少部分住戶尚未供水。
(社頭鄉)全鄉。
(田尾鄉)福田村、新興村等二村。
(員林鎮)大明里一部分。(溪州鄉)榮光、大庄、成功、西畔、柑園、潮洋、張厝、蔡公、三條、三圳、水尾等村及溪厝部分。",田中場等11口井
11,清水岩淨水場,210601 ,2642175 ,"(二水鄉)全鄉。
(田中鎮)全鎮，但大社里、平和里等少部分住戶尚未供水。
(社頭鄉)全鄉。
(田尾鄉)福田村、新興村等二村。
(員林鎮)大明里一部分。(溪州鄉)榮光、大庄、成功、西畔、柑園、潮洋、張厝、蔡公、三條、三圳、水尾等村及溪厝部分。",清水岩等4口井
11,溪湖第一淨水場,197866 ,2651498 ,"(溪湖鎮)全鎮，但竹圍、湳底、頂庄、媽厝等小部份由北斗系統供水。
(埔鹽鄉)全鄉。
(二林鎮)萬興、振興、梅芳、西庄、華崙、永興等六里。
(田尾鄉)海豐部份地區。
(秀水鄉)全鄉，但陜西、金興等二村由花壇系統供水。
(福興鄉)大崙、元中、外中、外埔、萬豐、番社、三汴、社尾等八村。",一場等4口井
11,溪湖第二淨水場,195029 ,2651003 ,"(溪湖鎮)全鎮，但竹圍、湳底、頂庄、媽厝等小部份由北斗系統供水。
(埔鹽鄉)全鄉。
(二林鎮)萬興、振興、梅芳、西庄、華崙、永興等六里。
(田尾鄉)海豐部份地區。
(秀水鄉)全鄉，但陜西、金興等二村由花壇系統供水。
(福興鄉)大崙、元中、外中、外埔、萬豐、番社、三汴、社尾等八村。",二場等3口井
11,福興淨水場,197856 ,2656395 ,"(溪湖鎮)全鎮，但竹圍、湳底、頂庄、媽厝等小部份由北斗系統供水。
(埔鹽鄉)全鄉。
(二林鎮)萬興、振興、梅芳、西庄、華崙、永興等六里。
(田尾鄉)海豐部份地區。
(秀水鄉)全鄉，但陜西、金興等二村由花壇系統供水。
(福興鄉)大崙、元中、外中、外埔、萬豐、番社、三汴、社尾等八村。",福興場等8口井
12,泰山淨水場,293194.8300 ,2772889.6420 ,"1.泰山區：大科里、黎明里(黎明路9號以後，自強路、泰林路三段及同榮里犁頭窠)除外
2.五股區：福德里登林路93號(含)及116號(含)以後、德音里外寮路除外",泰山第一、三、五水源(深井)
12,板新淨水場,286070.5680 ,2769164.0810 ,"1.新北市地區：板橋區、新莊區、樹林區、土城區、三峽區、鶯歌區、泰山區、五股區、蘆洲區、八里區全部
2.新北市三重區：二重埔地區
3.新北市中和區：員山路以西、連城路以北
4.桃園市八德區大發里（後庄街51號(含)及68(含)以後、福德一路）、大明里(福德一路、福德二、三街、華安街、興隆街、八德桃鶯路2巷、八德桃鶯路1~139號及2~146號)
5.桃園市龜山區山頂里(宏德新村1至180號)、龍華里、迴龍里、龍壽里(萬壽路1段642號前雙號側、萬壽路1段613號前單號側、萬壽路1段頂好巷、龍興街、龍新街、龍祥街、龍泉街、龍江街、龍華街、龍鳳街、自由街、尖山外（34-1號、34號、55號、59號）)",永和深井、三峽河、石門水庫(鳶山堰)
