年份,類別代碼,類別中文名稱,R,G,B
105,040102,減河,16,215,245
105,040804,地下取水井,36,120,168
105,0408,水利構造物,53,95,96
105,0404,水庫,70,212,206
105,040400,水庫,70,212,206
105,040801,水閘門,87,103,124
105,040803,水庫堰壩,90,133,158
105,040805,其他水利設施,92,126,145
105,040103,運河,110,199,250
105,040802,抽水站,112,143,161
105,0405,湖泊,121,238,233
105,040500,湖泊,121,238,233
105,04,水利利用土地,151,219,242
105,0402,堤防,156,156,156
105,040200,堤防,156,156,156
105,0406,蓄水池,158,215,194
105,040600,蓄水池,158,215,194
105,0410,海面,158,202,255
105,041000,海面,158,202,255
105,040101,河川,164,215,245
105,0403,溝渠,166,205,213
105,040300,溝渠,166,205,213
105,0401,河道,190,232,255
105,0409,防汛道路,204,204,204
105,040900,防汛道路,204,204,204
105,0407,水道沙洲灘地,214,136,0
105,040700,水道沙洲灘地,214,136,0
109,0001,系統用途,0,0,0
109,0002,系統用途,255,255,255
109,040102,減河,16,215,245
109,040405,地下取水井,36,120,168
109,040201,水庫,70,212,206
109,040402,水閘門,87,103,124
109,040404,堰壩,90,133,158
109,040406,其他水利設施,92,126,145
109,040103,運河,110,199,250
109,040403,抽水站,112,143,161
109,040202,湖泊,121,238,233
109,040203,蓄水池,122,216,250
109,040401,堤防,156,156,156
109,040600,海面,158,202,255
109,040101,河川,164,215,245
109,040104,溝渠,166,205,213
109,040500,防汛道路,204,204,204
109,040300,水道沙洲灘地,214,136,0